doc	1	SparkNLPisaNaturalLanguageProcessing(NLP)librarybuiltontopofApacheSparkML.Itprovidessimple,performantandaccurateNLPannotationsformachinelearningpipelinesthatcanscaleeasilyinadistributedenvironment.SparkNLPcomeswith1100pretrainedpipelinesandmodelsinmorethan192languages.ItsupportsnearlyalltheNLPtasksandmodulesthatcanbeusedseamlesslyinacluster.Downloadedmorethan2.7milliontimesandexperiencingninetimesgrowthsinceJanuary2020,SparkNLPisusedby54%ofhealthcareorganizationsastheworldsmostwidelyusedNLPlibraryintheenterprise.
doc	2	Recognizing Textual Entailment (RTE) was proposed as a unified evaluation framework to compare semantic understanding of different systems.Inthissurveypaper,weprovideanoverviewofdifferentapproachesforevaluatingandunderstandingthereasoningcapabilitiesofNLPsystems.WethenfocusourdiscussiononRTEbyhighlightingprominentRTEdatasetsaswellasadvancesinRTEdatasetthatfocusonspecificlinguisticphenomenathatcanbeusedtoevaluateNLPsystemsonafine-grainedlevel.WeconcludebyarguingthatwhenevaluatingNLPsystems,thecommunityshouldutilizenewlyintroducedRTEdatasetsthatfocusonspecificlinguisticphenomena.
doc	3	Despiteinextricabletiesbetweenraceandlanguage,littleworkhasconsideredraceinNLPresearchanddevelopment.Inthiswork,wesurvey79papersfromtheACLanthologythatmentionrace.Thesepapersrevealvarioustypesofrace-relatedbiasinallstagesofNLPmodeldevelopment,highlightingtheneedforproactiveconsiderationofhowNLPsystemscanupholdracialhierarchies.However,persistentgapsinresearchonraceandNLPremain:racehasbeensiloedasanichetopicandremainsignoredinmanyNLPtasks;mostworkoperationalizesraceasafixedsingle-dimensionalvariablewithaground-truthlabel,whichrisksreinforcingdifferencesproducedbyhistoricalracism;andthevoicesofhistoricallymarginalizedpeoplearenearlyabsentinNLPliterature.ByidentifyingwhereandhowNLPliteraturehasandhasnotconsideredrace,especiallyincomparisontorelatedfields,ourworkcallsforinclusionandracialjusticeinNLPresearchpractices.
doc	4	My notes on Deep Learning for NLP.
doc	5	Natural language processing (NLP) research combines the study of universal principles, through basic science, with applied sciencetargetingspecificusecasesandsettings.However,theprocessofexchangebetweenbasicNLPandapplicationsisoftenassumedtoemergenaturally,resultinginmanyinnovationsgoingunappliedandmanyimportantquestionsleftunstudied.WedescribeanewparadigmofTranslationalNLP,whichaimstostructureandfacilitatetheprocessesbywhichbasicandappliedNLPresearchinformoneanother.TranslationalNLPthuspresentsathirdresearchparadigm,focusedonunderstandingthechallengesposedbyapplicationneedsandhowthesechallengescandriveinnovationinbasicscienceandtechnologydesign.WeshowthatmanysignificantadvancesinNLPresearchhaveemergedfromtheintersectionofbasicprincipleswithapplicationneeds,andpresentaconceptualframeworkoutliningthestakeholdersandkeyquestionsintranslationalresearch.OurframeworkprovidesaroadmapfordevelopingTranslationalNLPasadedicatedresearcharea,andidentifiesgeneraltranslationalprinciplestofacilitateexchangebetweenbasicandappliedresearch.
doc	6	NaturalLanguageProcessingoffersnewinsightsintolanguagedataacrossalmostalldisciplinesanddomains,andallowsustocorroborateand/orchallengeexistingknowledge.Theprimaryhurdlestowideningparticipationinanduseofthesenewresearchtoolsare,first,alackofcodingskillsinstudentsacrossK-16,andinthepopulationatlarge,andsecond,alackofknowledgeofhowNLP-methodscanbeusedtoanswerquestionsofdisciplinaryinterestoutsideoflinguisticsand/orcomputerscience.TobroadenparticipationinNLPandimproveNLP-literacy,weintroducedanewtoolweb-basedtoolcalledNaturalLanguageProcessing4All(NLP4All).TheintendedpurposeofNLP4AllistohelpteachersfacilitatelearningwithandaboutNLP,byprovidingeasy-to-useinterfacestoNLP-methods,data,andanalyses,makingitpossiblefornon-andnovice-programmerstolearnNLPconceptsinteractively.
doc	7	Researchinapplyingnaturallanguageprocessing(NLP)techniquestorequirementsengineering(RE)tasksspansmorethan40years,frominitialeffortscarriedoutinthe1980stomorerecentattemptswithmachinelearning(ML)anddeeplearning(DL)techniques.However,inspiteoftheprogress,ourrecentsurveyshowsthatthereisstillalackofsystematicunderstandingandorganizationofcommonlyusedNLPtechniquesinRE.WebelieveonehurdlefacingtheindustryislackofsharedknowledgeofNLPtechniquesandtheirusageinREtasks.Inthispaper,wepresentourefforttosynthesizeandorganize57mostfrequentlyusedNLPtechniquesinRE.WeclassifytheseNLPtechniquesintwoways:first,bytheirNLPtasksintypicalpipelinesandsecond,bytheirlinguistanalysislevels.Webelievethesetwowaysofclassificationarecomplementary,contributingtoabetterunderstandingoftheNLPtechniquesinREandsuchunderstandingiscrucialtothedevelopmentofbetterNLPtoolsforRE.
doc	8	ThisreportdescribesanNLPassistantforthecollaborativedevelopmentenvironmentClide,thatsupportsthedevelopmentofNLPapplicationsbyprovidingeasyaccesstosomecommonNLPdatastructures.Theassistantvisualizestextfragmentsandtheirdependenciesbydisplayingthesemanticgraphofasentence,thecoreferencechainofaparagraphandminedtriplesthatareextractedfromaparagraph'ssemanticgraphsandlinkedusingitscoreferencechain.Usingthisinformationandalogicprogramminglibrary,wecreateanNLPdatabasewhichisusedbyaseriesofqueriestominethetriples.Thealgorithmistestedbytranslatinganaturallanguagetextdescribingagraphtoanactualgraphthatisshownasanannotationinthetexteditor.
doc	9	TherearealotoftoolsandresourcesavailableforprocessingFinnish.Inthispaper,wesurveyrecentpapersfocusingonFinnishNLPrelatedtomanydifferentsubcategoriesofNLPsuchasparsing,generation,semanticsandspeech.NLPresearchisconductedinmanydifferentresearchgroupsinFinland,anditisfrequentlythecasethatNLPtoolsandmodelsresultingfromacademicresearcharemadeavailableforotherstouseonplatformssuchasGithub.
doc	10	WithrecentdevelopmentsinnewarchitectureslikeTransformerandpretrainingtechniques,significantprogresshasbeenmadeinapplicationsofnaturallanguageprocessing(NLP).However,thehighenergycostandlonginferencedelayofTransformerispreventingNLPfromenteringbroaderscenariosincludingedgeandmobilecomputing.EfficientNLPresearchaimstocomprehensivelyconsidercomputation,timeandcarbonemissionfortheentirelife-cycleofNLP,includingdatapreparation,modeltrainingandinference.Inthissurvey,wefocusontheinferencestageandreviewthecurrentstateofmodelcompressionforNLP,includingthebenchmarks,metricsandmethodology.Weoutlinethecurrentobstaclesandfutureresearchdirections.
